Datum begin;Datum einde;Toewijzing;Aantal giften;Brutobedrag;Transactiekosten;Mandaatkosten;Storneringskosten;Givt servicekosten;Uitbetalingskost;BTW;Storneringen;Netto bedrag;Netto bedrag (niet afgerond)
03-11-2021;09-11-2021;1e Collecte;15;28,02;-0,6;-0,125;-0,00;-1,2609;0;-0,417039;-0,00;25,62;25,617061
03-11-2021;09-11-2021;2e Collecte;15;60;-0,6;-0,125;-0,00;-2,7;0;-0,71925;-0,00;55,86;55,85575
10-11-2021;16-11-2021;1e Collecte;9;17;-0,32;-0,25;-0,00;-0,765;0;-0,28035;-0,00;15,38;15,38465
10-11-2021;16-11-2021;2e Collecte;9;16;-0,32;-0,25;-0,00;-0,72;0;-0,2709;-0,00;14,44;14,4391
17-11-2021;23-11-2021;1e Collecte;21;44,5;-0,8267;-0,375;-0,00;-2,0025;0;-0,672882;-0,00;40,62;40,622918
17-11-2021;23-11-2021;2e Collecte;23;87;-0,9467;-0,625;-0,00;-3,915;0;-1,152207;-0,00;80,36;80,361093
24-11-2021;30-11-2021;1e Collecte;15;33,5;-0,64;-0,125;-0,00;-1,5075;0;-0,477225;-0,00;30,75;30,750275
24-11-2021;30-11-2021;2e Collecte;15;45,5;-0,56;-0,125;-0,00;-2,0475;0;-0,573825;-0,00;42,19;42,193675
01-12-2021;07-12-2021;2e Collecte;19;42;-0,76;-0,125;-0,00;-1,89;0;-0,58275;-0,00;38,64;38,64225
01-12-2021;07-12-2021;1e Collecte;19;40,5;-0,84;-0,5;-0,00;-1,8225;0;-0,664125;-0,00;36,67;36,673375
24-11-2021;30-11-2021;1e Collecte;1;2;-0,02;-0;-0,00;-0,09;0;-0,0231;-0,00;1,87;1,8669
24-11-2021;30-11-2021;2e Collecte;1;2;-0,02;-0;-0,00;-0,09;0;-0,0231;-0,00;1,87;1,8669
08-12-2021;14-12-2021;2e Collecte;16;159;-0,72;-0,25;-0,00;-7,155;0;-1,70625;-0,00;149,17;149,16875
08-12-2021;14-12-2021;1e Collecte;16;33,5;-0,64;-0,125;-0,00;-1,5075;0;-0,477225;-0,00;30,75;30,750275
15-12-2021;21-12-2021;2e Collecte;23;53;-0,8934;-0,125;-0,00;-2,385;0;-0,714714;-0,00;48,88;48,881886
15-12-2021;21-12-2021;1e Collecte;23;62,5;-1,1334;-0,5;-0,00;-2,8125;0;-0,933639;-0,00;57,12;57,120461
